SMILES,IUPAC,InChI,InChIKey,MolWeight,ExactMass,HBondDonors,HBondAcceptors,TPSA,LogP,RotatableBonds,Solubility,Viscosity_cP,ThermalStability_Score,BoilingPoint_C
CC1(CNC(=O)N2CCC(C)(C)S(=O)(=O)CC2)CCCc2ccccc21,"7,7-dimethyl-N-[(1-methyl-3,4-dihydro-2H-naphthalen-1-yl)methyl]-1,1-dioxo-1,4-thiazepane-4-carboxamide","InChI=1S/C20H30N2O3S/c1-19(2)11-12-22(13-14-26(19,24)25)18(23)21-15-20(3)10-6-8-16-7-4-5-9-17(16)20/h4-5,7,9H,6,8,10-15H2,1-3H3,(H,21,23)",CRDFKLTXTROTJC-UHFFFAOYSA-N,378.5380000000002,378.19771382,1.0,3.0,66.48,2.8893000000000013,2.0,2.9,7.805,14.706,327.264
COc1ccc(C)cc1Nc1ncnc(N2CCN(c3ccccn3)CC2)c1[N+](=O)[O-],N-(2-methoxy-5-methylphenyl)-5-nitro-6-(4-pyridin-2-ylpiperazin-1-yl)pyrimidin-4-amine,"InChI=1S/C21H23N7O3/c1-15-6-7-17(31-2)16(13-15)25-20-19(28(29)30)21(24-14-23-20)27-11-9-26(10-12-27)18-5-3-4-8-22-18/h3-8,13-14H,9-12H2,1-2H3,(H,23,24,25)",AVBWEOWESHCFEL-UHFFFAOYSA-N,421.4610000000002,421.186237596,1.0,9.0,109.55,3.1670200000000017,6.0,4.1,12.798,-2.593,354.96
CC(C)OCCCNC(=O)C(NC(=O)c1c(F)cccc1F)C(C)C,"2,6-difluoro-N-[3-methyl-1-oxo-1-(3-propan-2-yloxypropylamino)butan-2-yl]benzamide","InChI=1S/C18H26F2N2O3/c1-11(2)16(18(24)21-9-6-10-25-12(3)4)22-17(23)15-13(19)7-5-8-14(15)20/h5,7-8,11-12,16H,6,9-10H2,1-4H3,(H,21,24)(H,22,23)",XBQJODJETWFJLL-UHFFFAOYSA-N,356.41300000000007,356.191149132,2.0,3.0,67.43,2.650500000000001,9.0,3.1,7.956,-21.878,305.814
CC1CCN(C(=O)c2cc(Cl)ncc2N)C(C)C1,"(5-amino-2-chloro-4-pyridinyl)-(2,4-dimethylpiperidin-1-yl)methanone","InChI=1S/C13H18ClN3O/c1-8-3-4-17(9(2)5-8)13(18)10-6-12(14)16-7-11(10)15/h6-9H,3-5,15H2,1-2H3",QWUZVAQDOWJPJR-UHFFFAOYSA-N,267.76,267.113839876,1.0,3.0,59.22,2.5778000000000008,1.0,2.9,6.858,13.544,286.177
CCN(CC)S(=O)(=O)c1cc(C(=O)NC2C3CC4CC(C3)CC2C4)ccc1Cl,N-(2-adamantyl)-4-chloro-3-(diethylsulfamoyl)benzamide,"InChI=1S/C21H29ClN2O3S/c1-3-24(4-2)28(26,27)19-12-15(5-6-18(19)22)21(25)23-20-16-8-13-7-14(10-16)11-17(20)9-13/h5-6,12-14,16-17,20H,3-4,7-11H2,1-2H3,(H,23,25)",LNZZRDJHUUKMLG-UHFFFAOYSA-N,424.99400000000026,424.158741468,1.0,3.0,66.48,3.9250000000000034,6.0,4.1,7.898,-0.9,412.374
COC(=O)c1ccc(Oc2cnn(c3cc(Cl)cc(Cl)c3)c2c2ccc3cc(OC)ccc3c2)cc1,"methyl 4-[1-(3,5-dichlorophenyl)-5-(6-methoxynaphthalen-2-yl)pyrazol-4-yl]oxybenzoate","InChI=1S/C28H20Cl2N2O4/c1-34-25-10-7-18-11-20(4-3-19(18)12-25)27-26(36-24-8-5-17(6-9-24)28(33)35-2)16-31-32(27)23-14-21(29)13-22(30)15-23/h3-16H,1-2H3",TYGJOQYRXPPKCZ-UHFFFAOYSA-N,519.3840000000002,518.0800124799999,0.0,6.0,62.58,7.586800000000005,6.0,7.4,7.897,11.143,702.111
C=CCNC(=S)Nc1nn(Cc2c(F)cccc2Cl)cc1Cl,1-[4-chloro-1-[(2-chloro-6-fluorophenyl)methyl]pyrazol-3-yl]-3-prop-2-enylthiourea,"InChI=1S/C14H13Cl2FN4S/c1-2-6-18-14(22)19-13-11(16)8-21(20-13)7-9-10(15)4-3-5-12(9)17/h2-5,8H,1,6-7H2,(H2,18,19,20,22)",WZLWIJUJLSJSHK-UHFFFAOYSA-N,359.25700000000006,358.022200996,2.0,3.0,41.88,3.849700000000002,5.0,3.8,5.407,0.662,396.209
Cc1cc(NC(=O)Nc2cc(Cl)ccc2N2CCCCC2)nn1C,"1-(5-chloro-2-piperidin-1-ylphenyl)-3-(1,5-dimethylpyrazol-3-yl)urea","InChI=1S/C17H22ClN5O/c1-12-10-16(21-22(12)2)20-17(24)19-14-11-13(18)6-7-15(14)23-8-4-3-5-9-23/h6-7,10-11H,3-5,8-9H2,1-2H3,(H2,19,20,21,24)",IPFKOVKAMNYJFR-UHFFFAOYSA-N,347.8500000000002,347.15128800400004,2.0,4.0,62.190000000000005,4.016220000000002,3.0,3.1,7.515,10.425,406.873
CCOc1cc(c2nc3ccccc3s2)ccc1OCc1c(Cl)cccc1Cl,"2-[4-[(2,6-dichlorophenyl)methoxy]-3-ethoxyphenyl]-1,3-benzothiazole","InChI=1S/C22H17Cl2NO2S/c1-2-26-20-12-14(22-25-18-8-3-4-9-21(18)28-22)10-11-19(20)27-13-15-16(23)6-5-7-17(15)24/h3-12H,2,13H2,1H3",OWPLXVLGEMPWEA-UHFFFAOYSA-N,430.3560000000002,429.035705144,0.0,4.0,31.35,7.247800000000004,6.0,7.1,4.396,6.013,662.442
CCCCCc1ccc(C(=O)Nc2ccccc2N)cc1,N-(2-aminophenyl)-4-pentylbenzamide,"InChI=1S/C18H22N2O/c1-2-3-4-7-14-10-12-15(13-11-14)18(21)20-17-9-6-5-8-16(17)19/h5-6,8-13H,2-4,7,19H2,1H3,(H,20,21)",GTFOCJJDYZHEBX-UHFFFAOYSA-N,282.387,282.173213324,2.0,2.0,55.120000000000005,4.253800000000002,6.0,4.5,6.477,-7.373,414.217
CCCS(=O)(=O)N1CCCC(C(=O)Nc2ccc(=O)n(Cc3ccccc3Cl)c2)C1,N-[1-[(2-chlorophenyl)methyl]-6-oxo-3-pyridinyl]-1-propylsulfonylpiperidine-3-carboxamide,"InChI=1S/C21H26ClN3O4S/c1-2-12-30(28,29)25-11-5-7-17(14-25)21(27)23-18-9-10-20(26)24(15-18)13-16-6-3-4-8-19(16)22/h3-4,6,8-10,15,17H,2,5,7,11-14H2,1H3,(H,23,27)",WTAXLLXLHGQGOT-UHFFFAOYSA-N,451.9760000000002,451.133254992,1.0,5.0,88.48000000000002,2.9403000000000006,7.0,2.0,10.352,-6.521,342.839
CNc1cc(COC)nc(Cc2nc3ccccc3[nH]2)n1,2-(1H-benzimidazol-2-ylmethyl)-6-(methoxymethyl)-N-methylpyrimidin-4-amine,"InChI=1S/C15H17N5O/c1-16-13-7-10(9-21-2)17-14(20-13)8-15-18-11-5-3-4-6-12(11)19-15/h3-7H,8-9H2,1-2H3,(H,18,19)(H,16,17,20)",XBIKKFRQPDDSKC-UHFFFAOYSA-N,283.335,283.143310164,2.0,5.0,75.72,2.1318,5.0,1.8,8.839,-6.57,255.219
CCCCCCCCN(CCCCCCCC)c1nc2c(s1)c1nc(N(CCCCCCCC)CCCCCCCC)sc1c1nc(N(CCCCCCCC)CCCCCCCC)sc21,"4-N,4-N,9-N,9-N,14-N,14-N-hexaoctyl-3,8,13-trithia-5,10,15-triazatetracyclo[10.3.0.02,6.07,11]pentadeca-1,4,6,9,11,14-hexaene-4,9,14-triamine","InChI=1S/C57H102N6S3/c1-7-13-19-25-31-37-43-61(44-38-32-26-20-14-8-2)55-58-49-52(64-55)50-54(66-56(59-50)62(45-39-33-27-21-15-9-3)46-40-34-28-22-16-10-4)51-53(49)65-57(60-51)63(47-41-35-29-23-17-11-5)48-42-36-30-24-18-12-6/h7-48H2,1-6H3",FXUDNCXTKQAWPO-UHFFFAOYSA-N,967.6859999999988,966.732810264,0.0,9.0,48.39000000000001,20.097899999999992,45.0,25.2,7.674,-136.42,1712.172
COCc1cccc(NC(=O)c2cccc(C(N)=O)c2)c1,"3-N-[3-(methoxymethyl)phenyl]benzene-1,3-dicarboxamide","InChI=1S/C16H16N2O3/c1-21-10-11-4-2-7-14(8-11)18-16(20)13-6-3-5-12(9-13)15(17)19/h2-9H,10H2,1H3,(H2,17,19)(H,18,20)",GWWAHNRZVUQSQL-UHFFFAOYSA-N,284.315,284.116092372,2.0,3.0,81.41999999999999,2.1842,5.0,1.3,9.211,-6.416,259.305
Nc1ccc(NC(=O)CSc2cccc(F)c2)cc1,N-(4-aminophenyl)-2-(3-fluorophenyl)sulfanylacetamide,"InChI=1S/C14H13FN2OS/c15-10-2-1-3-13(8-10)19-9-14(18)17-12-6-4-11(16)5-7-12/h1-8H,9,16H2,(H,17,18)",XBZKSRUZOSXDTK-UHFFFAOYSA-N,276.336,276.073262256,2.0,3.0,55.12,3.138700000000002,4.0,2.8,6.565,0.094,329.616
COc1cc(N)c(Cl)cc1C(=O)N1CCCCCC1,(4-amino-5-chloro-2-methoxyphenyl)-(azepan-1-yl)methanone,"InChI=1S/C14H19ClN2O2/c1-19-13-9-12(16)11(15)8-10(13)14(18)17-6-4-2-3-5-7-17/h8-9H,2-7,16H2,1H3",BUJLQOYKVBZSIV-UHFFFAOYSA-N,282.771,282.113505528,1.0,3.0,55.56,2.947000000000002,2.0,2.5,6.522,10.033,316.268
O=C(c1ccccc1OCc1ccc(F)cc1)N1CC[NH+](Cc2cccs2)CC1,[2-[(4-fluorophenyl)methoxy]phenyl]-[4-(thiophen-2-ylmethyl)piperazin-4-ium-1-yl]methanone,"InChI=1S/C23H23FN2O2S/c24-19-9-7-18(8-10-19)17-28-22-6-2-1-5-21(22)23(27)26-13-11-25(12-14-26)16-20-4-3-15-29-20/h1-10,15H,11-14,16-17H2/p+1",NSCIOPHSTMTIOM-UHFFFAOYSA-O,411.52200000000016,411.1537036480901,1.0,3.0,33.98,3.007100000000001,6.0,4.0,4.621,-3.41,341.376
CCCCCCCCCC(=O)Nc1cnc(Cl)cn1,N-(5-chloropyrazin-2-yl)decanamide,"InChI=1S/C14H22ClN3O/c1-2-3-4-5-6-7-8-9-14(19)18-13-11-16-12(15)10-17-13/h10-11H,2-9H2,1H3,(H,17,18,19)",KRSKHTRWPITQRE-UHFFFAOYSA-N,283.80300000000005,283.145140004,1.0,3.0,54.88,4.209200000000003,9.0,4.6,6.456,-22.391,411.098
CCOC(=O)Cc1c(C(=O)OCC)c(C)cn1CC,ethyl 2-(2-ethoxy-2-oxoethyl)-1-ethyl-4-methylpyrrole-3-carboxylate,"InChI=1S/C14H21NO4/c1-5-15-9-10(4)13(14(17)19-7-3)11(15)8-12(16)18-6-2/h9H,5-8H2,1-4H3",FWFOAZGTOWBIQE-UHFFFAOYSA-N,267.325,267.147058152,0.0,5.0,57.53000000000001,2.09872,6.0,1.7,6.788,-12.436,250.176
Cc1ccc(NC(=O)c2ccc(NC(=O)CSc3nncn3C)cc2)cc1F,"N-(3-fluoro-4-methylphenyl)-4-[[2-[(4-methyl-1,2,4-triazol-3-yl)sulfanyl]acetyl]amino]benzamide","InChI=1S/C19H18FN5O2S/c1-12-3-6-15(9-16(12)20)23-18(27)13-4-7-14(8-5-13)22-17(26)10-28-19-24-21-11-25(19)2/h3-9,11H,10H2,1-2H3,(H,22,26)(H,23,27)",UDQXZRBOIKZXRW-UHFFFAOYSA-N,399.4510000000001,399.116524036,2.0,6.0,88.91,3.245720000000002,6.0,2.5,10.49,-3.536,357.341
CCc1cc(CC)n(c2ncc(N)cc2C)n1,"6-(3,5-diethylpyrazol-1-yl)-5-methylpyridin-3-amine","InChI=1S/C13H18N4/c1-4-11-7-12(5-2)17(16-11)13-9(3)6-10(14)8-15-13/h6-8H,4-5,14H2,1-3H3",ZYZCEIRUVFQSLB-UHFFFAOYSA-N,230.315,230.153146576,1.0,4.0,56.73,2.2827200000000003,3.0,2.5,6.634,1.081,258.054
CCOC(=O)CNC(=O)N1CCCC1Cc1noc(c2cnccn2)n1,"ethyl 2-[[2-[(5-pyrazin-2-yl-1,2,4-oxadiazol-3-yl)methyl]pyrrolidine-1-carbonyl]amino]acetate","InChI=1S/C16H20N6O4/c1-2-25-14(23)10-19-16(24)22-7-3-4-11(22)8-13-20-15(26-21-13)12-9-17-5-6-18-12/h5-6,9,11H,2-4,7-8,10H2,1H3,(H,19,24)",OBKBWEAGXUIAMM-UHFFFAOYSA-N,360.374,360.1546031200001,1.0,8.0,123.34,0.8061999999999991,6.0,0.2,13.955,-10.369,168.125
COc1cnc(Nc2ccn(C)n2)nc1,5-methoxy-N-(1-methylpyrazol-3-yl)pyrimidin-2-amine,"InChI=1S/C9H11N5O/c1-14-4-3-8(13-14)12-9-10-5-7(15-2)6-11-9/h3-6H,1-2H3,(H,10,11,12,13)",ZKCJYALEILOJNA-UHFFFAOYSA-N,205.221,205.096359972,1.0,6.0,64.86,0.9623,3.0,0.7,7.596,-2.814,155.008
CCNc1ncnc(c2ccc(F)cc2F)c1CC,"6-(2,4-difluorophenyl)-N,5-diethylpyrimidin-4-amine","InChI=1S/C14H15F2N3/c1-3-10-13(18-8-19-14(10)17-4-2)11-6-5-9(15)7-12(11)16/h5-8H,3-4H2,1-2H3,(H,17,18,19)",XEYGAGLDKWBHLO-UHFFFAOYSA-N,263.291,263.12340392,1.0,3.0,37.81,3.4160000000000013,4.0,3.5,4.708,-0.003,348.327
CCOC(=O)c1cc(C(=O)OCC)n(C=Nc2ccc3c(c2)OCO3)c1C,"diethyl 1-(1,3-benzodioxol-5-yliminomethyl)-5-methylpyrrole-2,4-dicarboxylate","InChI=1S/C19H20N2O6/c1-4-24-18(22)14-9-15(19(23)25-5-2)21(12(14)3)10-20-13-6-7-16-17(8-13)27-11-26-16/h6-10H,4-5,11H2,1-3H3",SNVNDGCOYBWGEY-UHFFFAOYSA-N,372.3770000000002,372.13213636,0.0,8.0,88.35000000000002,3.086720000000001,6.0,3.4,10.38,-5.208,341.084
O=C(NCCc1ccccn1)c1cccc(CSc2ccc(c3ccccc3)nn2)c1,3-[(6-phenylpyridazin-3-yl)sulfanylmethyl]-N-(2-pyridin-2-ylethyl)benzamide,"InChI=1S/C25H22N4OS/c30-25(27-16-14-22-11-4-5-15-26-22)21-10-6-7-19(17-21)18-31-24-13-12-23(28-29-24)20-8-2-1-3-9-20/h1-13,15,17H,14,16,18H2,(H,27,30)",SZAYRMPZWXYUBM-UHFFFAOYSA-N,426.5450000000001,426.151432324,1.0,5.0,67.77000000000001,4.803400000000004,8.0,4.0,8.23,-9.066,478.502
CN(C(=O)N1CCC(NS(C)(=O)=O)C1)C1CCCC1,N-cyclopentyl-3-(methanesulfonamido)-N-methylpyrrolidine-1-carboxamide,"InChI=1S/C12H23N3O3S/c1-14(11-5-3-4-6-11)12(16)15-8-7-10(9-15)13-19(2,17)18/h10-11,13H,3-9H2,1-2H3",FXWJYFBYBIPZGO-UHFFFAOYSA-N,289.40100000000007,289.14601259600005,1.0,3.0,69.72,0.6043000000000003,3.0,0.3,7.951,0.679,141.627
FC(F)(F)c1cc(c2ccccc2)c2ccc3c(c4ccccc4)cc(C(F)(F)F)nc3c2n1,"4,7-diphenyl-2,9-bis(trifluoromethyl)-1,10-phenanthroline","InChI=1S/C26H14F6N2/c27-25(28,29)21-13-19(15-7-3-1-4-8-15)17-11-12-18-20(16-9-5-2-6-10-16)14-22(26(30,31)32)34-24(18)23(17)33-21/h1-14H",UPJIKHOECFDKMK-UHFFFAOYSA-N,468.40000000000015,468.1061177680001,0.0,2.0,25.78,8.154600000000004,2.0,7.5,3.715,29.729,736.539
Cc1cccc(CNNC(=O)C2(Cc3ccccc3CN=[N+]=[N-])N=C(c3ccc(OCCCO)cc3)OC2c2ccc(Br)cc2)c1,"4-[[2-(azidomethyl)phenyl]methyl]-5-(4-bromophenyl)-2-[4-(3-hydroxypropoxy)phenyl]-N'-[(3-methylphenyl)methyl]-5H-1,3-oxazole-4-carbohydrazide","InChI=1S/C35H35BrN6O4/c1-24-6-4-7-25(20-24)22-38-41-34(44)35(21-28-8-2-3-9-29(28)23-39-42-37)32(26-10-14-30(36)15-11-26)46-33(40-35)27-12-16-31(17-13-27)45-19-5-18-43/h2-4,6-17,20,32,38,43H,5,18-19,21-23H2,1H3,(H,41,44)",LNHGKSBSDFFSTF-UHFFFAOYSA-N,683.6070000000003,682.1903156999999,3.0,7.0,140.94,6.649620000000008,14.0,7.1,16.461,-22.52,658.099
Cc1ccc(S(=O)(=O)Nc2nc(C)c(C(=O)Nc3ccc(C(C)C)cc3)s2)cc1,"4-methyl-2-[(4-methylphenyl)sulfonylamino]-N-(4-propan-2-ylphenyl)-1,3-thiazole-5-carboxamide","InChI=1S/C21H23N3O3S2/c1-13(2)16-7-9-17(10-8-16)23-20(25)19-15(4)22-21(28-19)24-29(26,27)18-11-5-14(3)6-12-18/h5-13H,1-4H3,(H,22,24)(H,23,25)",RQRHUPRDVXIWCQ-UHFFFAOYSA-N,429.5670000000001,429.1180835960001,2.0,5.0,88.16,4.936440000000004,6.0,4.9,10.375,1.351,488.964
O=C(NC1CC(=O)N(Cc2ccc(F)cc2)C1)C(=O)c1ccccc1,N-[1-[(4-fluorophenyl)methyl]-5-oxopyrrolidin-3-yl]-2-oxo-2-phenylacetamide,"InChI=1S/C19H17FN2O3/c20-15-8-6-13(7-9-15)11-22-12-16(10-17(22)23)21-19(25)18(24)14-4-2-1-3-5-14/h1-9,16H,10-12H2,(H,21,25)",CMTPALAJVYKJDP-UHFFFAOYSA-N,340.35400000000004,340.12232062400005,1.0,3.0,66.48,1.9256999999999995,5.0,1.9,7.729,-4.131,248.884
COC(=O)Cn1nnnc1SCC(=O)OC(C)C,methyl 2-[5-(2-oxo-2-propan-2-yloxyethyl)sulfanyltetrazol-1-yl]acetate,"InChI=1S/C9H14N4O4S/c1-6(2)17-8(15)5-18-9-10-11-12-13(9)4-7(14)16-3/h6H,4-5H2,1-3H3",PJKDABMMTYAGJD-UHFFFAOYSA-N,274.302,274.073575928,0.0,9.0,96.2,-0.1102000000000007,6.0,1.2,11.069,-16.505,85.623
CS(=O)(=O)N(Cc1ccc(C(=O)Nc2ccccc2C(=O)N2CCCCC2)cc1)c1cccc(Cl)c1,4-[(3-chloro-N-methylsulfonylanilino)methyl]-N-[2-(piperidine-1-carbonyl)phenyl]benzamide,"InChI=1S/C27H28ClN3O4S/c1-36(34,35)31(23-9-7-8-22(28)18-23)19-20-12-14-21(15-13-20)26(32)29-25-11-4-3-10-24(25)27(33)30-16-5-2-6-17-30/h3-4,7-15,18H,2,5-6,16-17,19H2,1H3,(H,29,32)",CJSHTVAMWGZOGI-UHFFFAOYSA-N,526.0580000000004,525.148905056,1.0,4.0,86.79,5.184600000000005,7.0,4.9,10.231,1.672,523.014
CNC(=O)C1CCCN1C(=O)CNC(=O)C(C)Oc1ccc(F)cc1Br,1-[2-[2-(2-bromo-4-fluorophenoxy)propanoylamino]acetyl]-N-methylpyrrolidine-2-carboxamide,"InChI=1S/C17H21BrFN3O4/c1-10(26-14-6-5-11(19)8-12(14)18)16(24)21-9-15(23)22-7-3-4-13(22)17(25)20-2/h5-6,8,10,13H,3-4,7,9H2,1-2H3,(H,20,25)(H,21,24)",JBIDJOTVMHHATO-UHFFFAOYSA-N,430.27400000000006,429.0699464720001,2.0,4.0,87.74000000000001,1.2087,6.0,1.8,10.235,-6.069,209.496
O=C(COc1c(F)c(F)cc(F)c1F)NCCc1ccc(F)cc1,"N-[2-(4-fluorophenyl)ethyl]-2-(2,3,5,6-tetrafluorophenoxy)acetamide","InChI=1S/C16H12F5NO2/c17-10-3-1-9(2-4-10)5-6-22-13(23)8-24-16-14(20)11(18)7-12(19)15(16)21/h1-4,7H,5-6,8H2,(H,22,23)",ASFPPEATAUXSHI-UHFFFAOYSA-N,345.267,345.078819724,1.0,2.0,38.33,3.119800000000001,6.0,3.7,4.824,-6.497,339.228
Cc1csc(C(N)CC(F)(F)F)n1,"3,3,3-trifluoro-1-(4-methyl-1,3-thiazol-2-yl)propan-1-amine","InChI=1S/C7H9F3N2S/c1-4-3-13-6(12-4)5(11)2-7(8,9)10/h3,5H,2,11H2,1H3",SKUVJUSYFYRQCG-UHFFFAOYSA-N,210.224,210.043853948,1.0,3.0,38.91,2.4037200000000007,2.0,1.8,4.711,5.319,263.915
Cc1coc(SCc2csc(C(=O)NN)n2)n1,"4-[(4-methyl-1,3-oxazol-2-yl)sulfanylmethyl]-1,3-thiazole-2-carbohydrazide","InChI=1S/C9H10N4O2S2/c1-5-2-15-9(11-5)17-4-6-3-16-8(12-6)7(14)13-10/h2-3H,4,10H2,1H3,(H,13,14)",MMBDQNMDWKYMLS-UHFFFAOYSA-N,270.339,270.02451756,2.0,7.0,94.04,1.33532,4.0,1.0,10.845,-3.812,193.403
N[N+](O)(N=O)c1ccccc1,amino-hydroxy-nitroso-phenylazanium,"InChI=1S/C6H8N3O2/c7-9(11,8-10)6-4-2-1-3-5-6/h1-5,11H,7H2/q+1",RUXTUFLJDDZFPQ-UHFFFAOYSA-N,154.149,154.06110291609,2.0,4.0,75.68,0.9382,2.0,0.3,8.476,-0.416,145.029
c1ccc(c2cccc3c2c2c4oc5c(ccc6c5c5ccccc5n6c5ccccc5)c4ccc2n3c2ccccc2)cc1,"6,11,24-triphenyl-15-oxa-6,24-diazaheptacyclo[14.11.0.02,14.05,13.07,12.017,25.018,23]heptacosa-1(16),2(14),3,5(13),7,9,11,17(25),18,20,22,26-dodecaene",InChI=1S/C42H26N2O/c1-4-13-27(14-5-1)30-20-12-22-35-38(30)40-37(44(35)29-17-8-3-9-18-29)26-24-32-31-23-25-36-39(41(31)45-42(32)40)33-19-10-11-21-34(33)43(36)28-15-6-2-7-16-28/h1-26H,HSHXADHKSFIMRO-UHFFFAOYSA-N,574.6830000000002,574.2045134520001,0.0,3.0,23.0,11.447199999999984,3.0,11.4,3.749,36.629,1000.489
CCCCC(Nc1ccc(C)cc1Cl)C(=O)OC,methyl 2-(2-chloro-4-methylanilino)hexanoate,"InChI=1S/C14H20ClNO2/c1-4-5-6-13(14(17)18-3)16-12-8-7-10(2)9-11(12)15/h7-9,13,16H,4-6H2,1-3H3",POYIAUWMVUWMAJ-UHFFFAOYSA-N,269.772,269.11825656,1.0,3.0,38.33,3.7921200000000015,6.0,4.6,4.773,-8.927,377.573
